Study_number,Authors,Title,Source,Volume,Issue,BP,EP,PubYear,Notes,Citations,DE,DLD,DOI,nonEnglish,Rank,SearchDate,SearchTerm
96,GIERCZAK M; GIERCZAK C,INFLUENCE OF FUNGICIDES ON QUANTITATIVE AND QUALITATIVE COMPOSITION OF MICRO FLORA IN THE SOIL OF A FOREST NURSERY AT RAKOWNIA AND INTENSITY OF SOIL RESPIRATION,Bulletin de la Societe des Amis des Sciences et des Lettres de Poznan Serie D Sciences Biologiques,,14,139,150,1973,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
97,"HSU, JC; CAMPER, ND","PURE CULTURE STUDIES OF ERWINIA-CAROTOVORA WITH 3,5-DIIODO-4-HYDROXYBENZONITRILE",APPLIED MICROBIOLOGY,26,5,814,819,1973,,4,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
98,KARANTH N G K; VASANTHARAJAN V N,PERSISTENCE AND EFFECT OF DEXON ON SOIL RESPIRATION,Soil Biology and Biochemistry,5,5,679,684,1973,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
99,LOSSAINT P,SOIL VEGETATION RELATIONSHIPS IN MEDITERRANEAN ECOSYSTEMS OF SOUTHERN FRANCE,"DICASTRI, FRANCESCO AND HAROLD A. MOONEY (ED.). ECOLOGICAL STUDIES: ANALYSIS AND SYNTHESIS, VOL. 7. MEDITERRANEAN TYPE ECOSYSTEMS. ORIGIN AND STRUCTURE. XII+405P. ILLUS. MAPS. SPRINGER-VERLAG: NEW YORK, N.Y., U.S.A.; HEIDELBERG, WEST GERMANY",,,199,210,1973,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
100,STARK N,NUTRIENT CYCLING IN A JEFFREY PINE FOREST ECOSYSTEM,NUTRIENT CYCLING IN A JEFFREY PINE FOREST ECOSYSTEM,,,389,,1973,,0,,,,N,2,9/26/2008,"Topic=(""soil respiration"")"
101,"WANNER, H; SOEROHAL.S; SANTOSA, PDN; PANGGABE.G; YINGCHOI, P; NGUYENTH.",SOIL RESPIRATION IN DIFFERENT TYPES OF SOUTHEAST ASIAN TROPICAL RAIN-FOREST,OECOLOGIA,12,3,289,302,1973,,5,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
102,DUBLE R L; WEAVER R W,THATCH DECOMPOSITION IN BERMUDA GRASS TURF,"ROBERTS, ELIOT C. (ED.). PROCEEDINGS OF THE SECOND INTERNATIONAL TURFGRASS RESEARCH CONFERENCE. BLACKSBURG, VA., U.S.A., JUNE 19, 1973. XXVI+602P. ILLUS. AMERICAN SOCIETY OF AGRONOMY, INC. AND THE CROP SCIENCE SOCIETY OF AMERICA, INC.: MADISON, WIS., U.S.A",,,445,451,1974,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
103,"EDWARDS, NT",MOVING CHAMBER DESIGN FOR MEASURING SOIL RESPIRATION RATES,OIKOS,25,1,97,101,1974,,23,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
104,GRABERT D,A DEVICE FOR THE AUTOMATIC MEASUREMENT OF SOIL RESPIRATION,Zentralblatt fuer Bakteriologie Parasitenkunde Infektionskrankheiten und Hygiene Zweite Naturwissenschaftliche Abteilung Allgemeine Landwirtschaftliche und Technische Mikrobiologie,129,6,520,524,1974,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
105,"JONG, ED; SCHAPPER.HJ; MACDONAL.KB",CARBON-DIOXIDE EVOLUTION FROM VIRGIN AND CULTIVATED SOIL AS AFFECTED BY MANAGEMENT PRACTICES AND CLIMATE,CANADIAN JOURNAL OF SOIL SCIENCE,54,3,299,307,1974,,3,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992"
106,"RIPLEY, EA; SAUGIER, B",MICROCLIMATE AND PRODUCTION OF A NATIVE GRASSLAND - MICROMETEOROLOGICAL STUDY,OECOLOGIA PLANTARUM,9,4,333,363,1974,,14,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
107,"WAID, JS; BENGSUAN, T",TRANSMISSION ELECTRON-MICROSCOPY OF BACTERIA IN SOILS DURING ACETATE DECOMPOSITION,SOIL BIOLOGY & BIOCHEMISTRY,6,1,63,&,1974,,5,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
108,"Billès, G.; Lossaint, P.; Lafont, F.; Prioton, J.",Etude comparative de l'activité biologique des sols sous peuplements arbustifs et herbacés de la garrigue méditerranéenne. (I). Minéralisation du carbone et de l'azote,REVUE D’ECOLOGIE ET DE BIOLOGIE DU SOL,12,1,115,139,1975,,,Y,Y,,Y,1,9/26/2008,R&S1992
109,"EDWARDS, NT",EFFECTS OF TEMPERATURE AND MOISTURE ON CARBON-DIOXIDE EVOLUTION IN A MIXED DECIDUOUS FOREST FLOOR,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,39,2,361,365,1975,,148,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
110,HERMAN R P; KUCERA C L,VEGETATION MANAGEMENT AND MICROBIAL FUNCTION IN A TALL GRASS PRAIRIE,Iowa State Journal of Research,50,2,255,260,1975,,0,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
111,KRUGLOV B V; PERTSEVA A N; GALKINA G A,CHANGES IN THE BIOLOGICAL ACTIVITY OF SOIL UNDER THE EFFECT OF LONG-TERM SYSTEMATIC TREATMENT WITH HERBICIDES,Doklady Vsesoyuznoi Ordena Lenina i Ordena Trudovogo Krasnogo Znameni Akademii Sel'skokhozyaistvennykh Nauk Imeni V I Lenina,2,,20,21,1975,,0,,,,N,2,9/26/2008,"Topic=(""soil respiration"")"
112,"Lamotte, M.",The structure and function of a tropical savanna,"Tropical ecological systems: trends in terrestrial and aquatic research (ed: Goley, Medina)",,,179,222,1975,,,,,,N,1,9/26/2008,R&S1992
113,"LASKOWSKI, DA; OMELIA, FC; GRIFFITH, JD; REGOLI, AJ; YOUNGSON, CR; GORING, CAI",EFFECT OF 2-CHLORO-6-(TRICHLOROMETHYL)PYRIDINE AND ITS HYDROLYSIS PRODUCT 6-CHLOROPICOLINIC ACID ON SOIL MICROORGANISMS,JOURNAL OF ENVIRONMENTAL QUALITY,4,3,412,417,1975,,17,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
114,NAKANE K,DYNAMICS OF SOIL ORGANIC MATTER IN DIFFERENT PARTS ON A SLOPE UNDER EVERGREEN OAK FOREST,Japanese Journal of Ecology,25,4,206,216,1975,,0,Y,Y,,Y,1,9/26/2008,"Topic=(""soil respiration""); R&S1992"
115,"PHILLIPSON, J; PUTMAN, RJ; STEEL, J; WOODELL, SRJ","Litter input, litter decomposition and the evolution of carbon dioxide in a beech woodland-Wytham Woods, Oxford",OECOLOGIA,20,3,203,217,1975,,54,Y,Y,,N,1,9/26/2008,B-L2004
116,ROSSWALL T,INTRODUCTION,"WIELGOLASKI, F. E. (ED.). ECOLOGICAL STUDIES, VOL. 16 AND 17. FENNOSCANDIAN TUNDRA ECOSYSTEMS, PART 1. PLANTS AND MICROORGANISMS. PART 2. ANIMALS AND SYSTEMS ANALYSIS. XV+366P(VOL. 16); XIII+337P (VOL. 17). ILLUS. SPRINGER-VERLAG: NEW YORK, N.Y., U.S.A.; HEIDELBERG, WEST GERMANY. ISBN 0-387-07218-7; ISBN 3-540-07218-7(VOL. 16). ISBN 0-387-07551-8; ISBN 3-540-07551-8(VOL. 17)",,,227,229,1975,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
117,"SPALDING, B; DUXBURY, JM; STONE, EL",LYCOPODIUM FAIRY RINGS - EFFECT ON SOIL RESPIRATION AND ENZYMATIC-ACTIVITIES,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,39,1,65,70,1975,,15,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
118,STEUBING L; KNEIDING U,INVESTIGATIONS OF RE CULTIVATION OF FIELDS ON WIND ERODED SOIL IN ICELAND,Research Institute Nedri As Hveragerdi Iceland Report,,21,1,48,1975,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
119,"STEVENS, RJ; CORNFORTH, IS",ALL-GLASS CLOSED-SYSTEM SOIL PERCOLATION APPARATUS FOR GAS AND LIQUID,PLANT AND SOIL,43,2,327,335,1975,,1,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
120,"WILDUNG, RE; GARLAND, TR; BUSCHBOM, RL",INTERDEPENDENT EFFECTS OF SOIL TEMPERATURE AND WATER-CONTENT ON SOIL RESPIRATION RATE AND PLANT ROOT DECOMPOSITION IN ARID GRASSLAND SOILS,SOIL BIOLOGY & BIOCHEMISTRY,7,6,373,378,1975,,137,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
121,ALIFANOV V M; LICHKO R P; LOSHAKOVA N A; STEPUTINA V I,ENZYMATIC ACTIVITY OF GRAY FOREST SOILS,POCHVOVEDENIE / EURASIAN SOIL SCIENCE,,11,127,132,1976,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
122,"ALIFANOV, VM; LICHKO, RP; LOSHAKOVA, NA; STEPUTINA, VI",ENZYMIC ACTIVITY OF GRAY FOREST SOILS,SOVIET SOIL SCIENCE,8,6,705,710,1976,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
123,BEZUGLOV V G; MINENKO A K; POSTDEVA R A,HERBICIDES IN CROP ROTATIONS AND SOIL MICRO FLORA,Khimiya v Sel'skom Khozyaistve,14,12,45,49,1976,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
124,"BURFORD, JR",EFFECT OF APPLICATION OF COW SLURRY TO GRASSLAND ON COMPOSITION OF SOIL ATMOSPHERE,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,27,2,115,126,1976,,22,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
125,"CERNIGLIA, CE; BLEVINS, WT; PERRY, JJ",MICROBIAL OXIDATION AND ASSIMILATION OF PROPYLENE,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,32,6,764,768,1976,,11,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
126,"COLEMAN, DC; ANDREWS, R; ELLIS, JE; SINGH, JS",ENERGY-FLOW AND PARTITIONING IN SELECTED MAN-MANAGED AND NATURAL ECOSYSTEMS,AGRO-ECOSYSTEMS,3,1,45,54,1976,Not on shelf-?,47,,,,N,1,9/26/2008,R&S1992
127,DARASELIYA N A; KALATOZOVA G B,BIOLOGICAL ACTIVITY OF PODZOLIC GLEY SOILS OF THE KOLKHIDA LOWLAND GEORGIAN-SSR USSR RELATED TO SOIL IMPROVEMENT MEASURES,POCHVOVEDENIE / EURASIAN SOIL SCIENCE,,11,47,56,1976,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
128,FRANZ G,THE INFLUENCE OF DEEP LOOSENING OF PSEUDOGLEY ON THE MICROBIAL ACTIVITY OF THE SOILS AND THE STABILITY OF THIS SOIL TREATMENT,Landwirtschaftliche Forschung,29,1,77,87,1976,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
129,"FRENYO, W; KOVACS, G",EXPERIMENT ON RESPIRATORY CARBON-DIOXIDE OF A SOIL SAMPLE,BOTANIKAI KOZLEMENYEK-BOTANICAL PUBLICATIONS,63,4,241,248,1976,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
130,"GOLEBIOWSKA, J; PEDZIWILK, Z",RESPIRATORY ACTIVITY OF SOIL FROM SEVERAL HABITATS IN BOTANICAL GARDEN IN POZNAN,ACTA MICROBIOLOGICA POLONICA,25,1,43,50,1976,,0,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
131,"JOHNSON, CE; BISCOE, PV; CLARK, JA; LITTLETON, EJ",TURBULENT TRANSFER IN A BARLEY CANOPY,AGRICULTURAL METEOROLOGY,16,1,17,35,1976,,7,,,,N,3,9/26/2008,"Topic=((""soil co2 efflux"" or ""soil co2 flux"" or ""soil carbon flux"" or ""soil carbon efflux"") not ""soil respiration"")"
132,KACZMAREK W; KASZUBIAK H; PEDZIWILK Z,THE ATP CONTENT IN SOIL MICROORGANISMS,Ekologia polska,24,3,399,406,1976,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
133,"KOCH, W; ROTH, H",LARGE PRECISION GAS-EXCHANGE MEASURING DEVICE WITH A SEPARATED GREEN ZONE AND A SOIL ZONE AND ITS EFFICIENCY DEMONSTRATED ON PICEA-ABIES,PHOTOSYNTHETICA,10,1,71,&,1976,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
134,KRZYSCH G,CARBON DIOXIDE ECONOMY AND PLANT MATERIAL FORMATION IN A SUGAR BEET STAND PART 2 THE CARBON DI OXIDE SOURCES ATMOSPHERE AND SOIL AND THEIR DYNAMICS,Zeitschrift fuer Acker- und Pflanzenbau,143,2,109,133,1976,,0,,,,N,1,9/26/2008,"Topic=(""soil respiration"")"
135,"KUDEYAROV, VN; JENKINSON, DS",EFFECTS OF BIOCIDAL TREATMENTS ON METABOLISM IN SOIL .6. FUMIGATION WITH CARBON-DISULFIDE,SOIL BIOLOGY & BIOCHEMISTRY,8,5,375,378,1976,,17,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
136,KUPPA D K,DYNAMICS OF CARBON DIOXIDE LIBERATION IN PODZOL GLEY SOILS OF THE COLCHIS LOWLAND UNDER THE EFFECT OF VARIOUS LAND IMPROVING MEASURES,Subtropicheskie Kul'tury,1,,76,78,1976,,0,N,Y,,Y,1,9/26/2008,"Topic=(""soil respiration"")"
137,"MILLER, PC; STONER, WA; TIESZEN, LL","MODEL OF STAND PHOTOSYNTHESIS FOR WET MEADOW TUNDRA AT BARROW, ALASKA",ECOLOGY,57,3,411,430,1976,,55,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
138,SAUERBECK D; JOHNEN B,THE TURNOVER OF PLANT ROOTS DURING THE GROWTH PERIOD AND ITS INFLUENCE ON SOIL RESPIRATION,Zeitschrift fuer Pflanzenernaehrung und Bodenkunde,,3,315,328,1976,,0,,,,N,1,9/26/2008,"Topic=(""soil respiration"")"
139,SCHNETTER M-L; CARDOZO-G H,ECOLOGICAL STUDIES IN THE CRUZ VERDE PARAMO COLOMBIA PART 4 BIOLOGICAL ACTIVITY OF THE SOIL IN DIFFERENT PLANT ASSOCIATIONS,Caldasia,11,54,85,91,1976,,0,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
140,TAMM C O,ACID PRECIPITATION BIOLOGICAL EFFECTS IN SOIL AND ON FOREST VEGETATION,Ambio,5,06-May,235,238,1976,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
141,"TESAROVA, M; GLOSER, J",STUDY OF SOIL RESPIRATION UNDER NATURAL CONDITIONS,FOLIA MICROBIOLOGICA,21,3,217,218,1976,,0,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992"
142,"TESAROVA, M; GLOSER, J",TOTAL CO2 OUTPUT FROM ALLUVIAL SOILS WITH 2-TYPES OF GRASSLAND COMMUNITIES,PEDOBIOLOGIA,16,5,364,372,1976,,27,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992"
143,VIRZO DE SANTO A; ALFANI A; SAPIO S,SOIL METABOLISM IN BEECH FORESTS OF MONTE TABURNO CAMPANIA APENNINES ITALY,Oikos,27,1,144,152,1976,,0,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
144,"BARKO, JW; MURPHY, PG; WETZEL, RG",INVESTIGATION OF PRIMARY PRODUCTION AND ECOSYSTEM METABOLISM IN A LAKE-MICHIGAN DUNE POND,ARCHIV FUR HYDROBIOLOGIE,81,2,155,187,1977,,18,N,Y,,N,1,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
145,"CALDWELL, MM; WHITE, RS; MOORE, RT; CAMP, LB","CARBON BALANCE, PRODUCTIVITY, AND WATER-USE OF COLD-WINTER DESERT SHRUB COMMUNITIES DOMINATED BY C3 AND C4 SPECIES",OECOLOGIA,29,4,275,300,1977,,100,Y,Y,,N,1,9/26/2008,R&S1992
146,DWIVEDI R S; SHUKLA A N,FUNGAL DECOMPOSITION IN RELATION TO CARBON DI OXIDE EVOLUTION IN A TROPICAL SAL FOREST BIOME,Proceedings of the Indian National Science Academy Part B Biological Sciences,43,02-Jan,26,32,1977,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
147,"EBREGT, A; BOLDEWIJN, JMAM","INFLUENCE OF HEAVY-METALS IN SPRUCE FOREST SOIL ON AMYLASE ACTIVITY, CO2 EVOLUTION FROM STARCH AND SOIL RESPIRATION",PLANT AND SOIL,47,1,137,148,1977,,30,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
148,"EDWARDS, NT; HARRIS, WF",CARBON CYCLING IN A MIXED DECIDUOUS FOREST FLOOR,ECOLOGY,58,2,431,437,1977,,141,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); B-L2004; R&S1992"
149,FREYTAG H E,ANALYSIS OF SOIL RESPIRATION CURVES,Zentralblatt fuer Bakteriologie Parasitenkunde Infektionskrankheiten und Hygiene Zweite Naturwissenschaftliche Abteilung Allgemeine Landwirtschaftliche und Technische Mikrobiologie,132,06-May,452,460,1977,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
150,"GAUR, AC; MISRA, KC","EFFECT OF SIMAZINE, LINDANE AND CERESAN ON SOIL RESPIRATION AND NITRIFICATION RATES",PLANT AND SOIL,46,1,5,15,1977,,13,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
151,"GRIER, CC; LOGAN, RS",OLD-GROWTH PSEUDOTSUGA-MENZIESII COMMUNITIES OF A WESTERN OREGON WATERSHED - BIOMASS DISTRIBUTION AND PRODUCTION BUDGETS,ECOLOGICAL MONOGRAPHS,47,4,373,400,1977,,199,Y,Y,,N,1,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
152,"GUPTA, SR; SINGH, JS","EFFECT OF ALKALI CONCENTRATION, VOLUME AND ABSORPTION AREA ON MEASUREMENT OF SOIL RESPIRATION IN A TROPICAL SWARD",PEDOBIOLOGIA,17,4,233,239,1977,,26,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
153,"HERMAN, RP",ROOT CONTRIBUTION TO TOTAL SOIL RESPIRATION IN A TALL-GRASS PRAIRIE,AMERICAN MIDLAND NATURALIST,98,1,227,232,1977,,16,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); B-L2004"
154,"HODGES, T; KANEMASU, ET",MODELING DAILY DRY-MATTER PRODUCTION OF WINTER-WHEAT,AGRONOMY JOURNAL,69,6,974,978,1977,,46,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
155,"KINERSON, RS; RALSTON, CW; WELLS, CG",CARBON CYCLING IN A LOBLOLLY-PINE PLANTATION,OECOLOGIA,29,1,1,10,1977,,62,Y,Y,,N,1,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
156,"LAWREY, JD",RELATIVE DECOMPOSITION POTENTIAL OF HABITATS VARIOUSLY AFFECTED BY SURFACE COAL MINING,CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,55,11,1544,1552,1977,,27,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
157,"LAWREY, JD",SOIL FUNGAL POPULATIONS AND SOIL RESPIRATION IN HABITATS VARIOUSLY INFLUENCED BY COAL STRIP-MINING,ENVIRONMENTAL POLLUTION,14,3,195,205,1977,,20,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
158,MARENDIAK D,A CONTRIBUTION TO THE STUDY OF RESPIRATION IN SOIL AND IN THE RHIZOSPHERE OF WINTER WHEAT,Zentralblatt fuer Bakteriologie Parasitenkunde Infektionskrankheiten und Hygiene Zweite Naturwissenschaftliche Abteilung Allgemeine Landwirtschaftliche und Technische Mikrobiologie,132,06-May,461,471,1977,,0,,,,N,1,9/26/2008,"Topic=(""soil respiration"")"
159,NOVAK B; KUBAT J,EFFECT OF VARIOUS TEMPERATURES ON MINERALIZATION OF ORGANIC SUBSTANCES IN SOIL,"SZEGI, J. (ED.). SOIL BIOLOGY AND CONSERVATION OF THE BIOSPHERE. PROCEEDINGS OF THE VII MEETING OF THE SOIL BIOLOGY SECTION OF THE SOCIETY FOR SOIL SCIENCE OF THE HUNGARIAN ASSOCIATION OF AGRICULTURAL SCIENCES. BUDAPEST, HUNGARY, SEPT. 2-4, 1975. 424P. ILLUS. AKADEMIAI KIADO: BUDAPEST, HUNGARY. ISBN 963-05-1273-4",,,219,223,1977,,0,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
160,"PHILLIPSON, J; ABEL, R; STEEL, J; WOODELL, SRJ","NEMATODE NUMBERS, BIOMASS AND RESPIRATORY METABOLISM IN A BEECH WOODLAND - WYTHAM-WOODS, OXFORD",OECOLOGIA,27,2,141,155,1977,,26,,N,,N,2,9/26/2008,"Topic=(""soil respiration"")"
161,"POKORNAKOZOVA, J",EFFECT OF ORGANIC AND MINERAL FERTILIZATION ON MICROBIAL AND BIOCHEMICAL TRANSFORMATIONS IN SOIL,ROSTLINNA VYROBA,23,9,911,924,1977,,1,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
162,"ROLSTON, DE; BROWN, BD",MEASUREMENT OF SOIL GASEOUS-DIFFUSION COEFFICIENTS BY A TRANSIENT-STATE METHOD WITH A TIME-DEPENDENT SURFACE CONDITION,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,41,3,499,505,1977,,11,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
163,SCHLESINGER W H,CARBON BALANCE IN TERRESTRIAL DETRITUS,"JOHNSTON, RICHARD F. PETER W. FRANK AND CHARLES D. MICHENER (ED.). ANNUAL REVIEW OF ECOLOGY AND SYSTEMATICS, VOL. 8. VI+490P. ILLUS. MAPS. ANNUAL REVIEWS INC.: PALO ALTO, CALIF., USA. ISBN 0-8243-1408-5",,,51,81,1977,,0,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
164,"SCHLESINGER, WH",CARBON BALANCE IN TERRESTRIAL DETRITUS,ANNUAL REVIEW OF ECOLOGY AND SYSTEMATICS,8,,51,81,1977,,401,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
165,SINGH J S; GUPTA S R,PLANT DECOMPOSITION AND SOIL RESPIRATION IN TERRESTRIAL ECOSYSTEMS,Botanical Review,43,4,449,528,1977,,0,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
166,"SINGH, JS; GUPTA, SR",PLANT DECOMPOSITION AND SOIL RESPIRATION IN TERRESTRIAL ECOSYSTEMS,BOTANICAL REVIEW,43,4,499,528,1977,,5,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
167,"SINGH, UR; SHUKLA, AN",SOIL RESPIRATION IN RELATION TO MESO-FAUNAL AND MYCO-FLORAL POPULATIONS DURING RAPID COURSE OF DECOMPOSITION ON FLOOR OF A TROPICAL DRY DECIDUOUS FOREST,REVUE D ECOLOGIE ET DE BIOLOGIE DU SOL,14,2,363,370,1977,,7,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992"
168,"SPITTLEHOUSE, DL; RIPLEY, EA",CARBON-DIOXIDE CONCENTRATIONS OVER A NATIVE GRASSLAND IN SASKATCHEWAN,TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,29,1,54,65,1977,,8,,,,N,1,9/26/2008,"Topic=(""soil respiration"")"
169,STEUBING L,SOIL MICROBIAL ACTIVITY UNDER BEECH AND SPRUCE STANDS,Naturaliste Canadien (Quebec),104,02-Jan,143,150,1977,,0,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
170,"VERSTRAETE, W; VOETS, JP",SOIL MICROBIAL AND BIOCHEMICAL CHARACTERISTICS IN RELATION TO SOIL-MANAGEMENT AND FERTILITY,SOIL BIOLOGY & BIOCHEMISTRY,9,4,253,258,1977,,34,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
171,"VOETS, JP; IMAS, MOA; GODDEERIS, H; VERSTRAETE, W","INFLUENCE OF PYRAZON, ETHOFUMESATE AND METAMITRON ON SOIL MICROBIOTA",ACTA PHYTOPATHOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,12,02-Jan,31,39,1977,,1,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
172,"WALKER, A; THOMPSON, JA","DEGRADATION OF SIMAZINE, LINURON AND PROPYZAMIDE IN DIFFERENT SOILS",WEED RESEARCH,17,6,399,405,1977,,36,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
173,"WAREMBOURG, FR; PAUL, EA","SEASONAL TRANSFERS OF ASSIMILATED C-14 IN GRASSLAND - PLANT PRODUCTION AND TURNOVER, SOIL AND PLANT RESPIRATION",SOIL BIOLOGY & BIOCHEMISTRY,9,4,295,301,1977,,61,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992"
174,"WARMAN, PR; THOMAS, RL; CORKE, CT; MORAN, ET",RECOVERY AND REACTIONS OF AMPROLIUM FROM POULTRY MANURE ADDED TO SOIL,SOIL BIOLOGY & BIOCHEMISTRY,9,4,267,270,1977,,4,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
175,"ADDISON, JA; PARKINSON, D",INFLUENCE OF COLLEMBOLAN FEEDING ACTIVITIES ON SOIL METABOLISM AT A HIGH ARCTIC SITE,OIKOS,30,3,529,538,1978,,35,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
176,"BAUMLER, W; DOPPELREITER, H; ELBADRY, E; HASSANEIN, F; KIZIROGLOU, I",INFLUENCE OF HERBICIDES PARAQUAT AND SIMAZIN ON FAUNA IN FOREST SOILS,ANZEIGER FUR SCHADLINGSKUNDE PFLANZENSCHUTZ UMWELTSCHUTZ,51,1,1,5,1978,,2,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
177,Billings,"Growth, turnover, and respiration rates of roots and tillers in tundra graminoids",Ecological Studies: Vegetation and Production Ecology of an Alaskan Arctic Tundra,,,,,1978,,,Y,Y,,N,1,9/26/2008,R&S1992; B-L2004
178,BLIEV YU K; MARTYNOV A N,EFFECT OF CHEMICAL MAINTENANCE OF FORESTS ON THE BIOLOGICAL ACTIVITY AND AGROCHEMICAL PROPERTIES OF THE SOIL,POCHVOVEDENIE / EURASIAN SOIL SCIENCE,,12,89,96,1978,,0,,N,,N,2,9/26/2008,"Topic=(""soil respiration"")"
179,"DIGHTON, J",EFFECTS OF SYNTHETIC LIME APHID HONEYDEW ON POPULATIONS OF SOIL ORGANISMS,SOIL BIOLOGY & BIOCHEMISTRY,10,5,369,376,1978,,12,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
180,DOELMAN P,EFFECTS OF LEAD POLLUTION ON THE SOIL MICRO FLORA,Verhandelingen Rijksinstituut voor Natuurbeheer,,13,11,110,1978,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
181,FOURNIER ORIGGI L A; HERRERA DE FOURNIER M E,CHANGES IN THE MICRO FLORA OF THE SOIL IN VARIOUS STAGES OF THE SERIES IN CIUDAD-COLON COSTA-RICA,Revista de Biologia Tropical,26,1,103,112,1978,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
